ticker,mean_daily,std_daily,skew,kurtosis,mean_ann,vol_ann,sharpe_ann,bucket,subcluster
AXP,0.0006986310540149331,0.019793890962379324,0.45824861348995755,17.363670859441534,0.17605502561176312,0.31421827778870787,0.5602953044321283,financials,payments
MA,0.0006972197383084164,0.01686940405602375,-0.031235866442274496,9.345913445865774,0.17569937405372094,0.26779348738861897,0.6561002501108174,financials,payments
PYPL,7.201840575873129e-05,0.02455669135836489,-1.0885620954772812,13.74911469927732,0.018148638251200284,0.38982539014081447,0.04655581373148771,financials,payments
V,0.0005954584218895234,0.015404555230293953,-0.11653439812434466,10.035116891322179,0.1500555223161599,0.24453973318150274,0.6136242988569282,financials,payments
AAPL,0.0009467464517604685,0.01827044059799161,-0.09312912857232583,6.654447282648697,0.23858010584363806,0.29003425299518415,0.822592860601191,tech,mega
AMZN,0.0007407182968579367,0.020633470753343777,-0.028189550082058538,5.063107685686777,0.18666101080820005,0.32754619378483313,0.5698769039301329,tech,mega
GOOGL,0.0008336032138302531,0.01812310948034485,-0.1952094418579223,4.545320891385618,0.21006800988522378,0.287695444009137,0.7301749619592592,tech,mega
META,0.000732420873598892,0.024482050805008468,-1.091130003964697,25.288493521355903,0.1845700601469208,0.3886405080894064,0.47491204932364023,tech,mega
MSFT,0.0008307574594748022,0.016985592245308254,-0.2520154626763407,8.098278961647766,0.20935087978765016,0.2696379177133971,0.7764148364703397,tech,mega
AMD,0.0016804945982058749,0.0367036941365343,0.5581492392422721,10.491221920250071,0.42348463874788045,0.5826530812958961,0.7268212463684147,tech,semis
AVGO,0.0013429416631572223,0.024495103180198805,-0.1867797769884891,11.182266231370889,0.33842129911562,0.38884770812204045,0.8703183586963716,tech,semis
INTC,0.00019471728615482159,0.02609550804679532,-0.5957152378610296,15.665616050927005,0.04906875611101504,0.4142533477662318,0.11845107921422313,tech,semis
MU,0.0013434504737106887,0.030704480274692175,-0.20231101414078775,3.5739553499224375,0.33854951937509353,0.4874185136539421,0.694576652079033,tech,semis
NVDA,0.0021524619615317887,0.03112446871329956,0.09853526256679623,6.671343833198328,0.5424204143060107,0.4940856234264069,1.097826750238976,tech,semis
QCOM,0.0005219171354594776,0.02353810866919603,0.09650508326934258,7.7801141710591555,0.13152311813578835,0.37365589122903725,0.3519899491031162,tech,semis
TXN,0.0006593988239431931,0.018893275434308854,-0.1441824577647545,6.684834089384887,0.16616850363368468,0.2999214495037624,0.5540400791894684,tech,semis
ADBE,0.00040591230016487443,0.021436210547918243,-0.7675149868841459,10.03975182815467,0.10228989964154836,0.34028929296846777,0.30059687964095555,tech,software
CRM,0.0003507127370389896,0.02212759820499238,-0.28171620672497955,12.834600193918524,0.08837960973382539,0.3512647317694144,0.251603994766664,tech,software
NOW,0.0007164396674122663,0.025267517134478293,-0.2364620787393655,4.742911658462815,0.18054279618789112,0.40110939951535773,0.4501086147720118,tech,software
ORCL,0.0006167782945415482,0.020662832939635667,1.311785967099076,29.232196790705814,0.15542813022447013,0.3280123040420981,0.47384847552707055,tech,software
