,spread,adf_p_roll,half_life_roll,mr_regime
2018-07-25,-0.10027839873902389,0.16576738135527214,17.203196503210652,0
2018-07-26,-0.0812335627371441,0.17197473209280867,17.850223305199563,0
2018-07-27,-0.06327933921379847,0.19995765216698652,17.454480631019837,0
2018-07-30,-0.04871112710164294,0.18365528468812575,17.10860631176733,0
2018-07-31,-0.01418975834395475,0.17008878611187334,17.32153615226046,0
2018-08-01,-0.07956848501433944,0.1804842419495532,18.44722612945256,0
2018-08-02,-0.07360274981950177,0.2393727809189477,18.426825013552182,0
2018-08-03,-0.05513488444924386,0.23701765556508592,17.84184249745607,0
2018-08-06,-0.0764341906317969,0.20988165516800722,18.9633023055491,0
2018-08-07,-0.08343871651957002,0.2596628205177958,19.79797843098929,0
2018-08-08,-0.06511961506689223,0.29346870970526484,19.511075946771655,0
2018-08-09,-0.08225840801269868,0.27792368430620673,20.36670075084888,0
2018-08-10,-0.0911485445565372,0.31274380985830574,20.800511369764696,0
2018-08-13,-0.1075395496453293,0.3279401426544951,21.412108619071116,0
2018-08-14,-0.12464263963642663,0.3497863530073202,23.53587426160391,0
2018-08-15,-0.20219652214422146,0.41709221760046883,29.073894002072837,0
2018-08-16,-0.20885524550373313,0.5853088422211399,30.443868421579168,0
2018-08-17,-0.1884908720059184,0.6071524424542887,28.737527943142737,0
2018-08-20,-0.18092913229464047,0.5609886217560575,28.303195959216474,0
2018-08-21,-0.15945103361548885,0.5416823519635737,26.537423238705756,0
2018-08-22,-0.13639577866748143,0.4850709262819681,25.163340976421424,0
2018-08-23,-0.16098864790005196,0.4342650183422423,26.16925250318186,0
2018-08-24,-0.13566648256734037,0.4632166347670471,25.24184885198746,0
2018-08-27,-0.12015781731009723,0.42775377492110084,24.44373768181559,0
2018-08-28,-0.11572451025572361,0.39569741946930115,24.9804400492176,0
2018-08-29,-0.1260543498099862,0.41064041165089227,26.516437106209896,0
2018-08-30,-0.16480943798363068,0.4557937830279458,28.70439443993753,0
2018-08-31,-0.16437689191351268,0.5174277979079783,28.8400228201582,0
2018-09-04,-0.20769109879913916,0.5158943377896261,33.67544306110522,0
2018-09-05,-0.17972619179692328,0.6191285140042994,31.148742089375038,0
2018-09-06,-0.18622892257458057,0.5631973478991106,31.93786748339588,0
2018-09-07,-0.21920284066904072,0.5751793094330887,37.217363492635634,0
2018-09-10,-0.21569134492800401,0.6596266151142214,37.308798475605705,0
2018-09-11,-0.2453550918686478,0.6557476688912877,41.9669158952896,0
2018-09-12,-0.18385775530198156,0.7080258232183348,35.771570468954984,0
2018-09-13,-0.17299705853318903,0.6133284531971209,35.15851274136171,0
2018-09-14,-0.17805011658530878,0.5979851866958504,36.00407008939355,0
