,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2023-04-03,0.03010498720433974,18.994492174530343,19.0,0.09854056356655388,1,0,0
2023-04-04,0.04609337923715584,19.050875593587072,19.0,0.09400170439415356,1,0,0
2023-04-05,0.041563697880679484,18.96820323834223,19.0,0.09467410509311408,1,0,0
2023-04-06,0.05274116398984363,18.937672693835303,20.0,0.09540564595399148,1,0,0
2023-04-10,0.06726152335957947,18.97499661155986,20.0,0.09220752347908029,1,0,0
2023-04-11,0.05233172369578609,18.82575576589042,20.0,0.08966591955812331,1,0,0
2023-04-12,0.0404125429353579,18.688741066575883,21.0,0.08675686550811196,1,0,0
2023-04-13,0.019676209275187873,18.563164558036373,21.0,0.08255254202215889,1,0,0
2023-04-14,0.016197530279168593,18.331493070879244,21.0,0.07453972198437228,1,0,0
2023-04-17,0.029624311262968828,17.850148868679955,21.0,0.07695033847324534,1,0,0
2023-04-18,0.025967142333271465,17.921999420016935,21.0,0.06627279549439385,1,0,0
2023-04-19,0.03876442358668708,17.424781836881124,19.0,0.060729618752822075,1,0,0
2023-04-20,0.03631037497950329,17.05503431681514,19.0,0.052421545019340036,1,0,0
2023-04-21,0.06941682766848833,16.49016174270644,20.0,0.04360480628734206,1,1,1
2023-04-24,0.0653135918574339,15.860921737364462,22.0,0.045677896544080165,1,1,1
2023-04-25,0.08814235771102208,15.86855127812665,22.0,0.04326003973261256,1,1,1
2023-04-26,0.09343707016216074,15.64562599661626,22.0,0.046956936628461766,1,1,1
2023-04-27,0.08674441761031071,15.716104486976334,20.0,0.03750214981266593,1,1,1
2023-04-28,0.08965375599310743,15.265681016749522,20.0,0.02933458199233418,1,1,1
2023-05-01,0.09185902374089272,14.615163275063813,20.0,0.04306778611617051,1,1,1
2023-05-02,0.09928970126086156,15.35683711802059,20.0,0.037793479629232754,1,1,1
2023-05-03,0.08451990815720967,15.048875232792794,20.0,0.03693912821103927,1,1,1
2023-05-04,0.1037886786497908,15.107629070789324,20.0,0.03841905598132615,1,1,1
2023-05-05,0.12315621521888431,15.159655839159873,20.0,0.04605687178414424,1,1,1
2023-05-08,0.1315331597272702,15.527136597571067,20.0,0.04650422885427659,1,1,1
2023-05-09,0.12674079498008028,15.496962743984048,20.0,0.05573711678185926,1,0,0
2023-05-10,0.17071605512754306,16.578494127327538,20.0,0.08852572168166939,1,0,0
2023-05-11,0.17736700378719172,17.600981207428198,20.0,0.07019993608139398,1,0,0
2023-05-12,0.16907305077742363,17.10699188978339,20.0,0.06485495842053225,1,0,0
2023-05-15,0.13568354334831012,16.30418429931464,20.0,0.05851758873036127,1,0,0
2023-05-16,0.12792194808132162,16.405529007771843,20.0,0.06880003676423897,1,0,0
2023-05-17,0.12907948167115357,16.9544675742759,20.0,0.0626532711946714,1,0,0
2023-05-18,0.14929558675897736,17.077959039379117,20.0,0.06967305245840331,1,0,0
2023-05-19,0.14961467030368292,17.106295575895615,20.0,0.07220563888341787,1,0,0
2023-05-22,0.1546603877892525,17.382596426490142,20.0,0.06162404023128734,1,0,0
2023-05-23,0.15867534712538411,17.0516227112013,20.0,0.05426387205999686,1,0,0
2023-05-24,0.15551862069308697,16.411325839864812,20.0,0.025615246399019607,1,1,1
2023-05-25,0.1109949616514494,14.15072640497545,20.0,0.020348180515415818,1,1,1
2023-05-26,0.11559536647894664,13.732857553482631,18.0,0.04473654589421102,1,1,1
2023-05-30,0.11076460400561938,15.05010101928601,18.0,0.0406612953410735,1,1,1
2023-05-31,0.07468295070474396,14.772538064791249,20.0,0.05636758549265617,1,0,0
2023-06-01,0.07645900821799545,15.87791687367849,20.0,0.059037752025137925,1,0,0
2023-06-02,0.07062236112066422,16.03210595808187,20.0,0.06263516688613315,1,0,0
2023-06-05,0.10301042092465629,16.399298471238378,20.0,0.09547251979639526,1,0,0
2023-06-06,0.12321553539656271,18.17369033589488,19.0,0.0964165085802483,1,0,0
2023-06-07,0.13932756816195235,18.467253641197214,19.0,0.10110094978442163,1,0,0
2023-06-08,0.13563467841852983,18.431287248046672,19.0,0.09970604135162997,1,0,0
2023-06-09,0.11727594812232445,18.184387489924685,17.0,0.09479186853351412,1,0,0
2023-06-12,0.11337702842115638,18.299870564859283,16.0,0.09339119792530293,1,0,0
2023-06-13,0.09169468222866461,18.116002179201917,15.0,0.08555430022123889,1,0,0
2023-06-14,0.07507280018238038,18.021012592997522,14.0,0.08224430579755398,1,0,0
2023-06-15,0.05286037781185149,17.83597748198883,14.0,0.07272832989875093,1,0,0
2023-06-16,0.0512636797906576,17.550516854402062,14.0,0.06962991694353161,1,0,0
2023-06-20,0.0786973597908327,17.277862846490514,14.0,0.06327318460357866,1,0,0
2023-06-21,0.10587562543518647,16.972945152430615,14.0,0.03772906555568821,1,1,1
2023-06-22,0.09869117247299908,15.480506571035344,14.0,0.021394521092559717,1,1,1
2023-06-23,0.07067008199222569,13.800817578817574,16.0,0.022995580949373595,1,1,1
2023-06-26,0.0620063985543271,13.681123985111277,16.0,0.014877138622000003,1,1,1
2023-06-27,0.037774594171063214,12.893854184726447,14.0,0.02635423546193073,1,1,1
2023-06-28,0.05124973068941063,13.66691411152075,12.0,0.029276251191952353,1,1,1
2023-06-29,0.07286595098180015,13.907156674488208,14.0,0.016537910959222264,1,1,1
2023-06-30,0.08499919851086224,13.048321493540726,14.0,0.01773028368414992,1,1,1
2023-07-03,0.08019987074660229,12.849767126288665,14.0,0.06287342120712475,1,0,0
2023-07-05,0.072205109155703,15.60293324364326,14.0,0.06703622689563536,1,0,0
