,spread,adf_p_roll,half_life_roll,mr_regime
2024-01-05,0.029664984821446083,0.18804199754292844,16.841843116282476,0
2024-01-08,0.03368454432781576,0.19210139074318688,16.889920338748095,0
2024-01-09,0.03511127336017772,0.19316272195752193,16.778234459182286,0
2024-01-10,0.027692782799618065,0.18692937912634516,17.063055490502517,0
2024-01-11,0.02841191738921367,0.1964144754341668,16.671793037771685,0
2024-01-12,0.023624211413436846,0.1732640870865293,16.518404840326152,0
2024-01-16,0.028737651864988223,0.16781830525589875,17.214218804000804,0
2024-01-17,0.03531059558569982,0.1993816312166765,17.76311699221649,0
2024-01-18,0.03356246770258142,0.2262033469832092,17.44156874123263,0
2024-01-19,0.030802503103689816,0.2092044812939181,17.613468254345936,0
2024-01-22,0.02531510073863341,0.2147990694056277,17.174961585568923,0
2024-01-23,0.027056067905227188,0.19523590251159662,17.04298651977337,0
2024-01-24,0.02802478294220556,0.1875623373304418,16.7941576650406,0
2024-01-25,0.03482518285575065,0.1755108081732888,17.13651389178059,0
2024-01-26,0.013243031222338608,0.19361513241707595,16.011581694758462,0
2024-01-29,0.029827489884402425,0.15980656857515746,17.71486654995038,0
2024-01-30,0.03243903763581457,0.18643593706573097,18.400939811521194,0
2024-01-31,0.009254560224208674,0.21714032895593038,15.931820720700237,0
2024-02-01,-0.0006722787999660085,0.1348917126407368,16.43297025906512,0
2024-02-02,0.0004320893168010542,0.16190751516015278,17.042429713699082,0
2024-02-05,0.002211740300108289,0.1870635128329789,16.69026189561615,0
2024-02-06,-0.001019073376075319,0.17063143297824268,16.872588647967095,0
2024-02-07,0.005670175579774117,0.17995789623391756,16.2573815192056,0
2024-02-08,0.0015963725034646714,0.15473954228771164,15.895445303342564,0
2024-02-09,0.004650985428540366,0.1399369145323736,15.880812225920709,0
2024-02-12,-0.0021186565142086167,0.14138067033039053,16.12158821482924,0
2024-02-13,-0.002908524801796375,0.1553603346666632,16.24302028695636,0
2024-02-14,-0.005925467761620062,0.16165122024405598,16.053620901243246,0
2024-02-15,-0.005449839029802561,0.15362632065393028,16.098230233954883,0
2024-02-16,-0.00785055970422821,0.15654434391250327,17.079137405642307,0
2024-02-20,0.012593140936282055,0.19814738395179,15.313305673197439,0
2024-02-21,0.0034827483472330556,0.13632619202437163,15.302294774638035,0
2024-02-22,0.003623067357574783,0.14018602316832773,15.289050969042457,0
2024-02-23,-0.0007146177386827546,0.14036036809712393,15.153255238722497,0
2024-02-26,-0.0009596692584956656,0.13529010164604222,15.228635254337831,0
2024-02-27,-0.004981872079103944,0.13940476730942764,15.494390358448058,0
2024-02-28,-0.004229809707617882,0.15246340377715473,15.537491459213214,0
2024-02-29,-0.006826192517969787,0.15442377143065322,15.84854090496818,0
2024-03-01,-0.008491141109959521,0.16855069187369753,16.05863655809088,0
2024-03-04,-0.0018011350065814113,0.17768460414531928,15.344377025091097,0
2024-03-05,-0.003981987078409688,0.14371722992464903,15.371188251773592,0
2024-03-06,-0.008190773654559003,0.14561917606175578,15.551378469941834,0
2024-03-07,-0.007867378180841378,0.15487710904512803,15.679128298562235,0
2024-03-08,-0.004768954503004075,0.16046555596618234,15.423410069336944,0
2024-03-11,-0.0026756531517699855,0.149006967952585,15.30724606304676,0
2024-03-12,0.001955285606406676,0.14424293817323586,15.196545277760716,0
2024-03-13,0.0007407343395176014,0.14050105000504293,15.217218263057873,0
2024-03-14,-0.00243992673996285,0.1420080720869476,15.249655386465742,0
2024-03-15,-0.00726435290389027,0.1442685611966013,15.154428625842574,0
2024-03-18,-0.006059936932281573,0.14014324594869149,15.363871120449287,0
2024-03-19,-0.007877236282744171,0.14935531935636948,15.2003975273793,0
2024-03-20,-0.008798958213331431,0.1414432194269037,14.887601486133434,0
2024-03-21,-0.006150736936612944,0.12731981855115304,14.6741748415161,0
2024-03-22,-0.01773005564798602,0.11957091777332296,14.86712478876865,0
2024-03-25,-0.013953789697078278,0.13376453338690586,14.519809064954702,0
2024-03-26,-0.017543604698212256,0.11972488013470489,15.076864594582164,0
2024-03-27,-0.02531245759421985,0.14538310636213198,16.396580914059978,0
2024-03-28,-0.03174064725676473,0.2088876628507565,17.33684305026272,0
2024-04-01,-0.027967929761195442,0.2535970127183992,17.131610700335866,0
2024-04-02,-0.02891941769181905,0.23875051980001288,17.093660881457996,0
2024-04-03,-0.029887124376670293,0.2318419405451264,16.571420773841353,0
2024-04-04,-0.02535322281574004,0.19963905686483463,15.92195406073503,0
2024-04-05,-0.027933655522622836,0.16840674680424156,16.073848404776587,0
2024-04-08,-0.029850828813685837,0.17514087142730034,16.84319599428273,0
2024-04-09,-0.020349823271734735,0.21004928053885386,15.052294614447325,0
2024-04-10,-0.02247577020705549,0.12890977537340081,15.213912525977538,0
2024-04-11,-0.01626158864821825,0.13731422400916804,14.294305132706087,0
2024-04-12,-0.009410023698706027,0.10088260005494959,13.463272149321929,0
2024-04-15,-0.01549027171037931,0.07329414163833094,13.626338754768646,1
2024-04-16,-0.015207221379644587,0.08310856437839165,13.81589752642355,1
2024-04-17,-0.010861421287638784,0.09251787985524701,13.330964993800277,1
2024-04-18,-0.004718786891753979,0.07687591140001243,13.504208974579576,1
2024-04-19,-0.011998977866116256,0.08599012255608823,13.311306849576395,1
2024-04-22,-0.005256971162143742,0.08191940663092168,13.191239560356681,1
2024-04-23,-0.010878088441088174,0.08053405308820377,13.622328149373697,1
2024-04-24,-0.006858962018259085,0.0998356214372903,13.340965645376333,1
2024-04-25,-0.005543121510895865,0.09007657732694974,13.389482073595026,1
2024-04-26,-0.008502354944303292,0.09337051422204878,14.327705902013202,1
2024-04-29,-0.0076191322918495175,0.12924890744616957,14.27229112758377,0
2024-04-30,-0.007527212165763686,0.1265626988975711,14.298321655513833,0
2024-05-01,0.006567778573749905,0.1276332228881546,14.272087867985803,0
2024-05-02,0.009637633760831932,0.12466398529104294,14.256986538636923,0
2024-05-03,0.0076877058663953335,0.12429007414212767,14.06979531030203,0
2024-05-06,0.011133968711150466,0.11548161791949507,14.390484194102239,0
2024-05-07,0.017333184348260033,0.12900286148429063,14.545970325744008,0
2024-05-08,0.016354336477509612,0.13745076545053214,14.78494399517426,0
2024-05-09,0.019613683435268925,0.143850665743663,15.040756087981999,0
2024-05-10,0.02429175964093666,0.15287338146956536,15.334048555645293,0
2024-05-13,0.017680832645603495,0.16662429346753593,15.002038400023789,0
2024-05-14,0.018821187940186057,0.1503103491058676,15.105037683566465,0
2024-05-15,0.024404479292716275,0.15412374155200148,15.469946422729414,0
2024-05-16,0.018357968424341564,0.17145758586820858,15.022219794981059,0
2024-05-17,0.016296650860400774,0.1485276137773805,14.711343064361742,0
2024-05-20,0.011794513272281648,0.13184355704270073,15.275214757141201,0
2024-05-21,0.0034726576084205263,0.15079402660265862,14.995602392502402,0
2024-05-22,0.0073308907813798285,0.1391305429956603,14.851445333512604,0
2024-05-23,0.013216570336000544,0.13291962307542754,14.98923202336063,0
2024-05-24,0.01414855052122821,0.14079589598204928,15.058699865944778,0
2024-05-28,0.013813975188063488,0.1440097368100114,14.936489178366129,0
2024-05-29,0.01133148688251584,0.13803729387580865,14.89538295613546,0
2024-05-30,0.021074326739944915,0.13664679450513056,15.255768032201619,0
2024-05-31,0.014885045807076835,0.15688595797636773,15.208506926816511,0
2024-06-03,0.01520556090001346,0.15123024274953728,15.214495041317548,0
2024-06-04,0.019342104316583786,0.1507413622630423,15.421476469577929,0
2024-06-05,0.022904899565085124,0.16060466513080113,15.88374952800095,0
2024-06-06,0.02778670366155911,0.16966454322320185,16.677760769451865,0
2024-06-07,0.031187904221690488,0.20501385278548506,17.08333804344674,0
2024-06-10,0.018995309419310047,0.22275636582894143,15.759453993310336,0
2024-06-11,0.017972717706514985,0.16461524861097998,15.603529971943152,0
2024-06-12,0.014482509401558374,0.15657624183243307,15.291434908676106,0
2024-06-13,0.013436164210251178,0.14261806176660635,14.789461885893292,0
2024-06-14,0.01218465611056807,0.11889852314509947,14.841468992413132,0
2024-06-17,0.006790796883395345,0.12260467183715024,16.100516890853143,0
2024-06-18,0.011640559587778654,0.16679071701012105,16.04159812907632,0
2024-06-20,0.018284370017056517,0.16340149729315118,16.18977048533928,0
2024-06-21,0.0076166460877464814,0.17239504725819726,15.694820735255844,0
2024-06-24,0.007227680217024357,0.15490090780139942,15.69219196299517,0
2024-06-25,-0.00023115285134167607,0.15504708400931638,15.368880155721339,0
2024-06-26,0.006685296109819383,0.1400797847127085,14.832217205451025,0
2024-06-27,0.0005223721150562355,0.1186214991067937,15.26003428078417,0
2024-06-28,-0.011769299905220798,0.138587494388053,16.155785240970992,0
2024-07-01,-0.0013950511139304567,0.1821877387764887,15.471970995168618,0
2024-07-02,0.002753944511239226,0.15428365944932904,15.370104702872117,0
2024-07-03,-0.001681494386041038,0.15026944401660847,15.495007919412915,0
2024-07-05,0.0007307945280805583,0.15598403437925595,15.43312080415992,0
2024-07-08,-0.007395274362581361,0.1531923755783658,15.601022442333367,0
2024-07-09,-0.009163553444549777,0.2466804285424976,15.720876719297522,0
2024-07-10,0.004650977989187233,0.16869700061211557,14.962312084784186,0
2024-07-11,-0.002930912539098607,0.2915404380740262,14.996539693031426,0
2024-07-12,0.0014522766813627186,0.30373484602585243,14.925565327495544,0
2024-07-15,0.003545178436985097,0.2946025315802647,14.92142270856917,0
2024-07-16,0.007462812882004677,0.29244698427627325,14.942480417197535,0
2024-07-17,0.004585960684397428,0.289082832903546,14.929132199911873,0
2024-07-18,-0.0036055764462670226,0.2853446874769574,14.998238495745266,0
2024-07-19,-0.0071269316170265995,0.2903929420896918,15.086729204152881,0
2024-07-22,-0.007344707470040568,0.27376609904482757,15.105152545903158,0
2024-07-23,-0.005568399438105942,0.26996486196577696,14.713146206771384,0
2024-07-24,-0.027232159052077876,0.22437331082233936,15.541794573938157,0
2024-07-25,-0.02290184725281641,0.3468972629165431,14.503855191551331,0
2024-07-26,-0.018528321143823412,0.38757230245930546,14.746089355891957,0
2024-07-29,-0.016742268833460194,0.41391103418662234,15.333961463344401,0
2024-07-30,-0.023478545178574173,0.409148096245713,16.254878214573832,0
2024-07-31,-0.04574620946912944,0.1105738029074193,19.73635050793993,0
2024-08-01,-0.041843545083390055,0.1781897921236653,19.222203448474946,0
2024-08-02,-0.03829852276717194,0.17236023700668424,18.722815883002884,0
2024-08-05,-0.037354591950949256,0.17185311495940764,18.808526376375294,0
2024-08-06,-0.042699762210239633,0.1605028599959924,20.419285170861873,0
2024-08-07,-0.05227970279170169,0.15700456449276112,23.988645934003774,0
2024-08-08,-0.05039626131083974,0.23413181035342284,23.75029130145092,0
2024-08-09,-0.05065827999013184,0.23804862641249913,24.533693931228104,0
2024-08-12,-0.047721103534555276,0.2526526220697749,23.89099492811685,0
2024-08-13,-0.05352727950198233,0.21219426470538705,26.67394988050871,0
