,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final
2019-10-07,0.0046682016295740425,9.80420544364485,31.0,0.1610622628781191,1,0,0
2019-10-08,0.0047269498909461305,9.957449950877,31.0,0.3516390129519744,1,0,0
2019-10-09,0.006114285763229255,9.99872972478584,31.0,0.34542360712910153,1,0,0
2019-10-10,0.011840159252101579,10.060548027472812,31.0,0.3584912312186531,1,0,0
2019-10-11,0.0038453966381259974,9.955491800889225,30.0,0.34536251092608317,1,0,0
2019-10-14,0.0033710510360034363,10.008149841573537,29.0,0.33267920257078276,1,0,0
2019-10-15,0.0014270842367860581,10.092204977683178,29.0,0.34658252073409734,1,0,0
2019-10-16,0.006501023579653875,10.094609394482365,27.0,0.3383042107811046,1,0,0
2019-10-17,-0.0003348333982531315,9.928336196343084,27.0,0.3317131621562297,1,0,0
2019-10-18,-0.00596251042551188,10.168217598027583,26.0,0.34161090527168514,1,0,0
2019-10-21,0.002357129448411044,10.028685450292699,27.0,0.36030471691388954,1,0,0
2019-10-22,-0.006084317162811104,10.01364936817256,28.0,0.3320250915227754,1,0,0
2019-10-23,-0.010957422829103614,10.123365902096868,28.0,0.31280369801320934,1,0,0
2019-10-24,-0.015902039719638772,10.384684469736497,27.0,0.3152454987718041,1,0,0
2019-10-25,-0.022343599743483544,10.688965953889161,28.0,0.17884179738602918,1,0,0
2019-10-28,-0.015100863547711896,10.313289965983582,28.0,0.15980986188518598,1,0,0
2019-10-29,-0.005520870889125007,10.069712785835534,26.0,0.20925004750108195,1,0,0
2019-10-30,-0.0063946712851867815,9.975981669850265,26.0,0.13321233003358524,1,0,0
2019-10-31,-0.004794198096474744,9.998040218367297,26.0,0.08644416453029197,1,0,0
2019-11-01,-0.010953458348714307,9.50621987550396,26.0,0.07757460089707023,1,0,0
2019-11-04,-0.006933709571682378,9.325888959784157,26.0,0.07677340064159481,1,0,0
2019-11-05,-0.015588196384028308,9.344073691887624,26.0,0.07219517982031295,1,0,0
2019-11-06,-0.01507007125850457,9.09132313861736,26.0,0.09672762981677385,1,0,0
2019-11-07,-0.015710237581578745,9.446007101686137,26.0,0.09958129666964688,1,0,0
2019-11-08,-0.011686428791596981,9.26599476177865,26.0,0.08064223165776685,1,0,0
2019-11-11,-0.00790973614562862,8.976115223000118,26.0,0.08858905558140873,1,0,0
2019-11-12,-0.008694664220884718,9.164063580777107,28.0,0.07657377927405887,1,0,0
2019-11-13,-0.003010931135237982,8.848699186220571,28.0,0.06652010146167193,1,0,0
2019-11-14,-0.001754424589855752,8.70890472521236,28.0,0.04494598290036047,1,1,1
2019-11-15,0.0022463532125058805,8.278848022629372,29.0,0.05294491914172764,1,0,0
2019-11-18,0.003292363943523391,8.45259071901869,29.0,0.05292339413481644,1,0,0
2019-11-19,-0.002006262244450774,8.312658880181454,30.0,0.052981697252487116,1,0,0
2019-11-20,0.005796505175391431,8.224395845111092,31.0,0.03760951096726888,1,1,1
2019-11-21,0.014539718263458568,7.903256110663332,31.0,0.015933299355615372,1,1,1
2019-11-22,0.010809376845865692,7.187497876754967,31.0,0.042309216124946446,1,1,1
2019-11-25,0.018373373469871446,8.200703485132417,31.0,0.07469888931678663,1,0,0
2019-11-26,0.013900548601354146,8.275799524480702,31.0,0.0663468347618974,1,0,0
2019-11-27,0.009824152240306638,8.068840397256201,31.0,0.042700982550910496,1,1,1
2019-11-29,0.010680346110747863,7.732030446521145,31.0,0.03556368518797212,1,1,1
2019-12-02,0.00884875180365352,7.548620902679163,29.0,0.06332883174086791,1,0,0
2019-12-03,0.01025190777334295,8.06726982625263,29.0,0.09821667379839732,1,0,0
2019-12-04,0.017941714696090294,8.418663452792373,27.0,0.09082791871507878,1,0,0
2019-12-05,0.01962395809341899,8.299970723896728,29.0,0.09590865197245174,1,0,0
2019-12-06,0.01953301358652304,8.353001980360172,29.0,0.09931822924783601,1,0,0
2019-12-09,0.009923219416723583,8.147364918659653,29.0,0.09843567594732583,1,0,0
