a,b,bucket,subcluster,train_nobs,alpha_train,beta_train,r2_train,eg_tstat_train,eg_pval_train,crit_1%,crit_5%,crit_10%
AAPL,GOOGL,tech,mega,1528,-2.235376673880385,1.5099433040236865,0.9342989309679053,-2.415060743404975,0.31775541998423673,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,MSFT,tech,mega,1528,-0.7650278473542065,1.008610691716023,0.9633355910447836,-2.1843382549595076,0.4324540386059756,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMZN,META,tech,mega,1528,-3.5495726320968872,1.5200952693637397,0.8605842713825904,-2.018362555411981,0.5190206169286222,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MSFT,GOOGL,tech,mega,1528,-1.2920504248690743,1.4568140142164911,0.9184220909997692,-1.7553073468066305,0.6511658980936538,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
MSFT,AMZN,tech,mega,1528,0.16028057169246676,1.035512262841304,0.9498270807258078,-1.12996248919948,0.8752995610362255,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AAPL,AMZN,tech,mega,1528,-0.5944492722624855,1.042398444848451,0.9114482919211915,-1.0272423571714528,0.897557445380962,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
GOOGL,AMZN,tech,mega,1528,1.3038450200508647,0.640930397074625,0.8408561273112661,-0.7802118806028963,0.9372549754781819,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,TXN,tech,semis,1528,-1.534979724796693,1.0386236782923055,0.9434661654372113,-2.865061574958801,0.1458586355282976,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,TXN,tech,semis,1528,1.1813345297402127,0.5575187274886403,0.7872903236614207,-2.6961926021419136,0.20095101735718823,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,MU,tech,semis,1528,2.243569393453294,0.39405615626284385,0.8050701576378702,-2.6416779632101894,0.22125189028886738,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,QCOM,tech,semis,1528,-6.150731094512811,2.236199310091422,0.8150925254002179,-2.600547089744211,0.23660960297693345,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,INTC,tech,semis,1528,-10.212963303665127,3.637755225282069,0.723808677537321,-2.526917230689029,0.2673284999940847,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
QCOM,AVGO,tech,semis,1528,1.2657956706711557,0.9307885254428695,0.8419360198225198,-2.4637550350439654,0.29528374375691435,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,AVGO,tech,semis,1528,-4.235577531855283,2.3746079089435224,0.8931959816888629,-2.4484751534805906,0.302253045049421,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,AVGO,tech,semis,1528,-4.529439895511765,1.9814144313731885,0.8926819843127017,-2.4297393804515,0.31090215738589144,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,QCOM,tech,semis,1528,1.9575716978963955,0.41316867327032913,0.5087258714839384,-2.427866935164104,0.31177266502538825,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,MU,tech,semis,1528,-3.741459868059203,1.4796585659896948,0.8912110141214976,-2.3993003786661533,0.32518641149666205,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,TXN,tech,semis,1528,-8.306482743958231,2.561309351269342,0.9088598166283064,-2.369342080463625,0.33950930153419673,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,QCOM,tech,semis,1528,-5.800914606156127,1.7876503354601825,0.7477117880495907,-2.2715963849114393,0.3878082366890178,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
QCOM,TXN,tech,semis,1528,-0.23641458815141742,0.9831230342319293,0.8214907603719339,-2.2481796165976067,0.39967522325706994,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
INTC,AVGO,tech,semis,1528,2.181352491611118,0.48039893943589246,0.6683595863982557,-2.091357183312397,0.4808857844677931,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,TXN,tech,semis,1528,-7.968884638120928,2.1467037353332277,0.916431992628468,-2.0896668896730324,0.4817696246135311,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
TXN,MU,tech,semis,1528,2.081091604988755,0.6586207851670121,0.8879169904837786,-1.8753245369915694,0.5924674824032846,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,INTC,tech,semis,1528,-9.192349966257417,2.947198266446307,0.6819597313076494,-1.8666989591176424,0.5967960535512493,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AMD,MU,tech,semis,1528,-2.8628076006407577,1.6558637027498868,0.7775413720156626,-1.840730176466446,0.6097354138042979,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
AVGO,MU,tech,semis,1528,0.6555312104465711,0.6761000540240991,0.8183391609895097,-1.620734148086229,0.7120594110985913,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NVDA,AMD,tech,semis,1528,-0.8191501236219577,0.7790360765535829,0.8711608014810641,-1.5758593942568584,0.7309707925544995,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
QCOM,MU,tech,semis,1528,2.054702007861505,0.5803166904146989,0.5858933443608936,-1.3157332461578624,0.8249377149075463,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
CRM,ADBE,tech,software,1528,1.0388464788868854,0.704357349089811,0.9760542187464946,-4.355157414826041,0.0020973535890802504,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
NOW,ADBE,tech,software,1528,-2.9330211469890908,1.2102557086736827,0.9847213903918653,-4.296952146232956,0.0025885772493421007,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
CRM,NOW,tech,software,1528,2.7664729720356527,0.576451287032173,0.9724202104412799,-4.265936554155615,0.0028917687845575833,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ORCL,NOW,tech,software,1528,2.647241385622766,0.32618466626988263,0.8168684718605499,-2.223501891320232,0.4122792386932422,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ORCL,CRM,tech,software,1528,1.1400567249275113,0.5540011627357284,0.8052257487992827,-2.0888638358707365,0.4821895453010345,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
ORCL,ADBE,tech,software,1528,1.6642710848390108,0.39954062445818395,0.8239598159828837,-1.78235449477505,0.6382528973767214,-3.9036265462495856,-3.340134301400377,-3.0472286386839977
